season,episode,total_lines,michael,dwight,jim,pam,andy,angela,kevin,erin,oscar,darryl,ryan,phyllis,jan,kelly,toby,stanley,holly,meredith,nellie,gabe,robert,david,creed,karen,clark,deangelo,charles,roy,pete,jo
9,1,225,0,42,21,19,33,16,7,4,9,3,1,1,0,2,11,3,0,2,10,0,0,1,1,0,22,0,0,0,13,0
9,2,302,0,33,39,34,35,7,10,31,5,11,0,1,0,0,5,1,0,1,33,0,0,0,4,0,22,0,0,11,16,0
9,3,242,0,24,21,32,44,2,3,21,7,31,0,3,0,0,0,2,0,1,33,0,0,0,0,0,4,0,0,0,5,0
9,4,314,0,40,59,29,40,5,16,11,14,11,0,5,0,0,2,10,0,7,27,0,0,0,3,0,12,0,0,0,2,0
9,5,280,0,39,37,34,50,6,2,22,3,6,0,0,0,0,4,2,0,5,21,0,0,0,3,0,5,0,0,0,2,0
9,6,293,0,33,9,11,56,12,26,46,27,4,0,0,0,0,9,0,0,3,16,0,0,0,1,0,0,0,0,0,10,0
9,7,294,0,54,21,47,9,23,3,17,20,3,0,14,25,0,5,0,0,4,6,0,0,6,1,0,4,0,0,0,8,0
9,8,323,0,57,29,17,0,60,16,6,22,6,0,12,0,0,8,13,0,8,9,0,0,3,3,0,0,0,0,0,23,0
9,9,291,0,59,60,32,0,13,13,24,7,17,0,10,0,0,11,5,0,5,11,0,0,0,2,0,0,0,0,0,22,0
9,10,257,0,18,28,44,0,16,16,26,10,15,0,8,0,0,0,4,0,22,9,0,0,0,4,0,0,0,0,0,9,0
9,11,274,0,41,18,23,0,13,19,11,19,19,0,6,0,0,0,4,0,6,15,0,0,0,3,0,35,0,0,0,2,0
9,12,282,0,44,39,47,0,6,12,18,8,21,0,3,0,0,7,1,0,2,24,0,0,0,2,0,1,0,0,0,12,0
9,13,279,0,90,45,23,0,1,1,2,2,2,0,0,0,0,0,2,0,5,3,0,0,0,0,0,32,0,0,0,0,0
9,14,262,0,37,30,59,0,15,6,10,12,35,0,1,0,0,3,0,0,1,9,0,0,0,1,0,4,0,0,0,0,0
9,15,268,0,32,28,30,66,4,6,26,7,3,0,6,8,0,0,1,0,2,7,0,0,0,0,0,9,0,0,0,8,0
9,16,514,0,44,28,57,85,44,5,33,8,5,0,10,0,0,15,5,0,7,8,20,0,17,4,0,9,0,0,0,45,0
9,17,218,0,52,6,21,5,8,12,4,11,1,0,8,0,0,0,2,0,3,2,0,0,0,3,0,5,0,0,0,0,0
9,18,332,0,49,31,42,11,32,9,3,29,12,0,6,0,0,2,5,0,3,4,0,0,0,0,0,25,0,0,0,2,0
9,19,262,0,58,15,9,31,2,5,10,7,0,0,5,0,0,14,18,0,2,13,0,7,0,2,0,38,0,0,0,2,0
9,20,233,0,21,17,22,39,16,10,16,2,10,0,0,0,0,7,2,0,0,20,0,2,0,1,0,6,0,0,0,4,0
9,21,392,0,56,65,30,72,30,13,9,19,11,0,4,0,0,7,4,0,1,5,0,0,0,2,0,8,0,0,0,5,0
9,22,517,0,87,91,34,44,39,38,24,28,30,0,7,0,0,0,4,0,9,0,0,0,0,4,0,5,0,0,0,4,0
9,24,516,2,76,73,45,31,23,31,11,18,19,15,17,0,12,13,8,0,15,9,0,0,0,8,0,3,0,0,0,3,0
