,season,episode,speaker,percent
379,2,16,ryan,2.041
380,2,17,angela,2.02
381,2,17,creed,2.02
382,2,17,crowd,0.505
383,2,17,dwight,24.747
384,2,17,jim,17.172
385,2,17,kelly,2.5250000000000004
386,2,17,kevin,2.02
387,2,17,michael,26.262999999999998
388,2,17,oscar,1.5150000000000001
389,2,17,overhead,0.505
390,2,17,pam,9.596
391,2,17,phyllis,2.02
392,2,17,ryan,3.535
393,2,17,speaker,1.01
394,2,17,stanley,2.5250000000000004
395,2,17,toby,2.02
396,2,19,angela,5.306
397,2,19,carol,1.633
398,2,19,delivery boy,0.8160000000000001
399,2,19,delivery woman,1.224
400,2,19,dwight,17.143
401,2,19,jan,2.041
402,2,19,jim,8.98
403,2,19,kelly,1.224
404,2,19,kevin,5.714
405,2,19,meredith,0.40800000000000003
406,2,19,michael,34.694
407,2,19,office staff,0.40800000000000003
408,2,19,oscar,2.857
409,2,19,pam,10.612
410,2,19,phyllis,0.8160000000000001
411,2,19,ryan,1.224
412,2,19,stanley,1.224
413,2,19,store employee,0.40800000000000003
414,2,19,toby,3.2649999999999997
415,2,20,angela,2.439
416,2,20,creed,0.488
417,2,20,dwight,33.171
418,2,20,hank,2.439
419,2,20,jim,8.780000000000001
420,2,20,kelly,2.439
421,2,20,kevin,2.439
422,2,20,linda,2.439
423,2,20,michael,24.39
424,2,20,oscar,2.927
425,2,20,pam,7.317
426,2,20,pam/jim,0.488
427,2,20,phyllis,1.463
428,2,20,ryan,3.415
429,2,20,stanley,2.927
430,2,20,toby,2.439
431,2,21,angela,4.887
432,2,21,creed,1.1280000000000001
433,2,21,dwight,12.406
434,2,21,female worker,0.376
435,2,21,i.d. photographer,0.376
436,2,21,jim,10.526
437,2,21,kelly,0.752
438,2,21,kevin,1.1280000000000001
439,2,21,michael,36.09
440,2,21,oscar,4.135
441,2,21,pam,9.023
442,2,21,photographer,3.383
443,2,21,phyllis,4.511
444,2,21,ryan,1.504
445,2,21,stanley,1.504
446,2,21,toby,8.271
447,2,22,angela,1.2919999999999998
448,2,22,billy,1.034
449,2,22,billy's girlfriend,0.517
450,2,22,bob,0.517
451,2,22,bob vance,0.258
452,2,22,carol,8.786
453,2,22,creed,1.034
454,2,22,darryl,2.067
455,2,22,dealer,1.2919999999999998
456,2,22,dwight,8.01
457,2,22,jan,12.403
458,2,22,jim,13.694999999999999
459,2,22,kevin,4.134
460,2,22,meredith,0.258
461,2,22,michael,25.581
462,2,22,oscar,1.034
463,2,22,pam,11.37
464,2,22,phyllis,2.326
465,2,22,roy,2.842
466,2,22,ryan,0.258
467,2,22,stanley,0.258
468,2,22,toby,1.034
469,2,7,christian,7.28
470,2,7,dwight,9.195
471,2,7,everyone,0.383
472,2,7,hostess,0.383
473,2,7,jan,18.391
474,2,7,jim,15.326
475,2,7,kelly,0.383
476,2,7,kevin,0.383
477,2,7,michael,28.352
478,2,7,michael and christian,0.766
479,2,7,oscar,1.533
480,2,7,pam,13.027
481,2,7,phyllis,1.533
482,2,7,roy,0.383
483,2,7,ryan,2.299
484,2,7,toby,0.383
485,3,2,alan,2.556
486,3,2,angela,2.875
487,3,2,creed,0.639
488,3,2,dwight,13.099
489,3,2,dwight and michael,0.319
490,3,2,evan,1.917
491,3,2,guy,0.639
492,3,2,jan,3.834
493,3,2,jerome bettis,1.278
494,3,2,jim,11.501999999999999
495,3,2,"jim, josh, and dwight",0.319
496,3,2,josh,6.709
497,3,2,kelly,2.556
498,3,2,kevin,0.958
499,3,2,meredith,0.319
500,3,2,michael,35.783
501,3,2,pam,10.224
502,3,2,phyllis,0.639
503,3,2,ryan,0.958
504,3,2,stanley,0.319
505,3,2,ted,0.319
506,3,2,toby,1.917
507,3,2,waiter,0.319
508,3,1,andy,3.7310000000000003
509,3,1,angela,2.9850000000000003
510,3,1,creed,0.746
511,3,1,dwight,11.940000000000001
512,3,1,jan,5.224
513,3,1,jim,7.463
514,3,1,josh,0.746
515,3,1,karen,0.746
516,3,1,kelly,0.746
517,3,1,kevin,0.746
518,3,1,michael,36.567
519,3,1,oscar,11.193999999999999
520,3,1,pam,4.478
521,3,1,phyllis,2.239
522,3,1,roy,2.9850000000000003
523,3,1,stanley,0.746
524,3,1,toby,6.715999999999999
525,3,3,andy,3.8309999999999995
526,3,3,angela,4.598
527,3,3,creed,0.766
528,3,3,dwight,27.586
529,3,3,jan,10.345
530,3,3,jim,4.215
531,3,3,josh,3.065
532,3,3,karen,2.682
